Amp training started. 2016-07-29T14:16:32

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [2, 2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-MCGd6n.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/2-2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/2-2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
   89        2016-07-29T14:17:22  1.496e-01    2.502e-02
   90        2016-07-29T14:17:22  1.486e-01    2.494e-02
   91        2016-07-29T14:17:22  1.473e-01    2.483e-02
   92        2016-07-29T14:17:22  1.453e-01    2.466e-02
   93        2016-07-29T14:17:22  1.431e-01    2.447e-02
   94        2016-07-29T14:17:23  1.412e-01    2.431e-02
   95        2016-07-29T14:17:23  1.395e-01    2.416e-02
   96        2016-07-29T14:17:23  1.371e-01    2.395e-02
   97        2016-07-29T14:17:23  1.340e-01    2.368e-02
   98        2016-07-29T14:17:24  1.309e-01    2.340e-02
   99        2016-07-29T14:17:24  1.290e-01    2.323e-02
Saving checkpoint data.
  100        2016-07-29T14:17:24  1.262e-01    2.298e-02
  101        2016-07-29T14:17:24  1.264e-01    2.300e-02
  102        2016-07-29T14:17:24  1.249e-01    2.286e-02
  103        2016-07-29T14:17:25  1.229e-01    2.268e-02
  104        2016-07-29T14:17:25  1.217e-01    2.256e-02
  105        2016-07-29T14:17:25  1.208e-01    2.248e-02
  106        2016-07-29T14:17:25  1.201e-01    2.242e-02
  107        2016-07-29T14:17:26  1.191e-01    2.232e-02
  108        2016-07-29T14:17:26  1.177e-01    2.219e-02
  109        2016-07-29T14:17:26  1.167e-01    2.210e-02
  110        2016-07-29T14:17:26  1.155e-01    2.198e-02
  111        2016-07-29T14:17:27  1.142e-01    2.186e-02
  112        2016-07-29T14:17:27  1.121e-01    2.166e-02
  113        2016-07-29T14:17:27  1.096e-01    2.141e-02
  114        2016-07-29T14:17:27  1.074e-01    2.120e-02
  115        2016-07-29T14:17:27  1.037e-01    2.083e-02
  116        2016-07-29T14:17:28  1.012e-01    2.058e-02
  117        2016-07-29T14:17:28  9.710e-02    2.016e-02
  118        2016-07-29T14:17:28  9.297e-02    1.972e-02
  119        2016-07-29T14:17:28  9.198e-02    1.962e-02
  120        2016-07-29T14:17:29  9.038e-02    1.945e-02
  121        2016-07-29T14:17:29  8.884e-02    1.928e-02
  122        2016-07-29T14:17:29  8.836e-02    1.923e-02
  123        2016-07-29T14:17:29  8.513e-02    1.887e-02
  124        2016-07-29T14:17:29  8.029e-02    1.833e-02
  125        2016-07-29T14:17:30  7.671e-02    1.792e-02
  126        2016-07-29T14:17:30  7.884e-02    1.816e-02
  127        2016-07-29T14:17:30  7.455e-02    1.766e-02
  128        2016-07-29T14:17:30  7.170e-02    1.732e-02
  129        2016-07-29T14:17:31  6.861e-02    1.694e-02
  130        2016-07-29T14:17:31  6.834e-02    1.691e-02
  131        2016-07-29T14:17:31  6.692e-02    1.673e-02
  132        2016-07-29T14:17:31  6.583e-02    1.660e-02
  133        2016-07-29T14:17:31  6.481e-02    1.647e-02
  134        2016-07-29T14:17:32  6.441e-02    1.642e-02
  135        2016-07-29T14:17:32  6.405e-02    1.637e-02
  136        2016-07-29T14:17:32  6.358e-02    1.631e-02
  137        2016-07-29T14:17:32  6.341e-02    1.629e-02
  138        2016-07-29T14:17:33  6.323e-02    1.627e-02
  139        2016-07-29T14:17:33  6.295e-02    1.623e-02
  140        2016-07-29T14:17:33  6.243e-02    1.616e-02
  141        2016-07-29T14:17:33  6.154e-02    1.605e-02
  142        2016-07-29T14:17:33  6.047e-02    1.591e-02
  143        2016-07-29T14:17:34  5.948e-02    1.578e-02
  144        2016-07-29T14:17:34  5.919e-02    1.574e-02
  145        2016-07-29T14:17:34  5.867e-02    1.567e-02
  146        2016-07-29T14:17:34  5.777e-02    1.555e-02
  147        2016-07-29T14:17:35  5.677e-02    1.541e-02
  148        2016-07-29T14:17:35  5.588e-02    1.529e-02
  149        2016-07-29T14:17:35  5.476e-02    1.514e-02
  150        2016-07-29T14:17:35  5.376e-02    1.500e-02
  151        2016-07-29T14:17:35  5.294e-02    1.488e-02
  152        2016-07-29T14:17:36  5.232e-02    1.480e-02
  153        2016-07-29T14:17:36  5.125e-02    1.464e-02
  154        2016-07-29T14:17:36  4.965e-02    1.441e-02
  155        2016-07-29T14:17:36  4.721e-02    1.405e-02
  156        2016-07-29T14:17:37  4.439e-02    1.363e-02
  157        2016-07-29T14:17:37  4.598e-02    1.387e-02
  158        2016-07-29T14:17:37  4.269e-02    1.336e-02
  159        2016-07-29T14:17:37  4.192e-02    1.324e-02
  160        2016-07-29T14:17:37  4.125e-02    1.314e-02
  161        2016-07-29T14:17:38  4.021e-02    1.297e-02
  162        2016-07-29T14:17:38  3.912e-02    1.279e-02
  163        2016-07-29T14:17:38  3.812e-02    1.263e-02
  164        2016-07-29T14:17:38  3.749e-02    1.252e-02
  165        2016-07-29T14:17:39  3.650e-02    1.236e-02
  166        2016-07-29T14:17:39  3.594e-02    1.226e-02
  167        2016-07-29T14:17:39  3.520e-02    1.214e-02
  168        2016-07-29T14:17:39  3.478e-02    1.206e-02
  169        2016-07-29T14:17:40  3.441e-02    1.200e-02
  170        2016-07-29T14:17:40  3.407e-02    1.194e-02
  171        2016-07-29T14:17:40  3.355e-02    1.185e-02
  172        2016-07-29T14:17:40  3.290e-02    1.173e-02
  173        2016-07-29T14:17:40  3.264e-02    1.169e-02
  174        2016-07-29T14:17:41  3.217e-02    1.160e-02
  175        2016-07-29T14:17:41  3.191e-02    1.155e-02
  176        2016-07-29T14:17:41  3.181e-02    1.154e-02
  177        2016-07-29T14:17:41  3.128e-02    1.144e-02
  178        2016-07-29T14:17:41  3.045e-02    1.129e-02
  179        2016-07-29T14:17:42  2.934e-02    1.108e-02
  180        2016-07-29T14:17:42  2.865e-02    1.095e-02
  181        2016-07-29T14:17:42  2.760e-02    1.075e-02
  182        2016-07-29T14:17:42  2.873e-02    1.096e-02
  183        2016-07-29T14:17:43  2.719e-02    1.067e-02
  184        2016-07-29T14:17:43  2.697e-02    1.062e-02
  185        2016-07-29T14:17:43  2.687e-02    1.060e-02
  186        2016-07-29T14:17:43  2.679e-02    1.059e-02
  187        2016-07-29T14:17:44  2.665e-02    1.056e-02
  188        2016-07-29T14:17:44  2.652e-02    1.053e-02
  189        2016-07-29T14:17:44  2.646e-02    1.052e-02
  190        2016-07-29T14:17:44  2.640e-02    1.051e-02
  191        2016-07-29T14:17:45  2.631e-02    1.049e-02
  192        2016-07-29T14:17:45  2.614e-02    1.046e-02
  193        2016-07-29T14:17:45  2.585e-02    1.040e-02
  194        2016-07-29T14:17:45  2.546e-02    1.032e-02
  195        2016-07-29T14:17:46  2.533e-02    1.029e-02
  196        2016-07-29T14:17:46  2.523e-02    1.027e-02
  197        2016-07-29T14:17:46  2.514e-02    1.026e-02
  198        2016-07-29T14:17:46  2.507e-02    1.024e-02
  199        2016-07-29T14:17:47  2.496e-02    1.022e-02
Saving checkpoint data.
  200        2016-07-29T14:17:47  2.484e-02    1.019e-02
  201        2016-07-29T14:17:47  2.475e-02    1.018e-02
  202        2016-07-29T14:17:47  2.466e-02    1.016e-02
  203        2016-07-29T14:17:47  2.455e-02    1.014e-02
  204        2016-07-29T14:17:48  2.437e-02    1.010e-02
  205        2016-07-29T14:17:48  2.406e-02    1.003e-02
  206        2016-07-29T14:17:48  2.364e-02    9.946e-03
  207        2016-07-29T14:17:48  2.358e-02    9.933e-03
  208        2016-07-29T14:17:49  2.348e-02    9.911e-03
  209        2016-07-29T14:17:49  2.332e-02    9.878e-03
  210        2016-07-29T14:17:49  2.324e-02    9.862e-03
  211        2016-07-29T14:17:49  2.312e-02    9.836e-03
  212        2016-07-29T14:17:49  2.294e-02    9.796e-03
  213        2016-07-29T14:17:50  2.284e-02    9.776e-03
  214        2016-07-29T14:17:50  2.280e-02    9.767e-03
  215        2016-07-29T14:17:50  2.271e-02    9.749e-03
  216        2016-07-29T14:17:50  2.269e-02    9.743e-03
  217        2016-07-29T14:17:51  2.265e-02    9.735e-03
  218        2016-07-29T14:17:51  2.259e-02    9.721e-03
  219        2016-07-29T14:17:51  2.249e-02    9.701e-03
  220        2016-07-29T14:17:51  2.237e-02    9.674e-03
  221        2016-07-29T14:17:51  2.227e-02    9.654e-03
  222        2016-07-29T14:17:52  2.220e-02    9.638e-03
  223        2016-07-29T14:17:52  2.217e-02    9.632e-03
  224        2016-07-29T14:17:52  2.214e-02    9.626e-03
  225        2016-07-29T14:17:52  2.212e-02    9.621e-03
  226        2016-07-29T14:17:53  2.208e-02    9.613e-03
  227        2016-07-29T14:17:53  2.202e-02    9.598e-03
  228        2016-07-29T14:17:53  2.191e-02    9.574e-03
  229        2016-07-29T14:17:53  2.179e-02    9.548e-03
  230        2016-07-29T14:17:53  2.171e-02    9.531e-03
  231        2016-07-29T14:17:54  2.161e-02    9.509e-03
  232        2016-07-29T14:17:54  2.149e-02    9.483e-03
  233        2016-07-29T14:17:54  2.138e-02    9.458e-03
  234        2016-07-29T14:17:54  2.147e-02    9.479e-03
  235        2016-07-29T14:17:55  2.133e-02    9.447e-03
  236        2016-07-29T14:17:55  2.125e-02    9.430e-03
  237        2016-07-29T14:17:55  2.119e-02    9.417e-03
  238        2016-07-29T14:17:55  2.117e-02    9.411e-03
  239        2016-07-29T14:17:55  2.115e-02    9.407e-03
  240        2016-07-29T14:17:56  2.112e-02    9.401e-03
  241        2016-07-29T14:17:56  2.109e-02    9.395e-03
  242        2016-07-29T14:17:56  2.104e-02    9.384e-03
  243        2016-07-29T14:17:56  2.096e-02    9.365e-03
  244        2016-07-29T14:17:57  2.082e-02    9.334e-03
  245        2016-07-29T14:17:57  2.062e-02    9.289e-03
  246        2016-07-29T14:17:57  2.039e-02    9.236e-03
  247        2016-07-29T14:17:57  2.005e-02    9.159e-03
  248        2016-07-29T14:17:58  1.960e-02    9.055e-03
  249        2016-07-29T14:17:58  1.911e-02    8.943e-03
  250        2016-07-29T14:17:58  1.910e-02    8.938e-03
  251        2016-07-29T14:17:58  1.901e-02    8.918e-03
  252        2016-07-29T14:17:58  1.898e-02    8.911e-03
  253        2016-07-29T14:17:59  1.897e-02    8.910e-03
  254        2016-07-29T14:17:59  1.896e-02    8.908e-03
  255        2016-07-29T14:17:59  1.895e-02    8.905e-03
  256        2016-07-29T14:17:59  1.893e-02    8.900e-03
