Amp training started. 2016-07-29T14:27:09

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-LM6kOs.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/generic1/2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic1/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
   89        2016-07-29T14:27:50  1.829e-01    2.767e-02
   90        2016-07-29T14:27:50  1.822e-01    2.761e-02
   91        2016-07-29T14:27:50  1.814e-01    2.755e-02
   92        2016-07-29T14:27:50  1.803e-01    2.747e-02
   93        2016-07-29T14:27:50  1.793e-01    2.739e-02
   94        2016-07-29T14:27:50  1.787e-01    2.734e-02
   95        2016-07-29T14:27:50  1.780e-01    2.729e-02
   96        2016-07-29T14:27:50  1.770e-01    2.721e-02
   97        2016-07-29T14:27:50  1.753e-01    2.709e-02
   98        2016-07-29T14:27:51  1.750e-01    2.706e-02
   99        2016-07-29T14:27:51  1.747e-01    2.704e-02
Saving checkpoint data.
  100        2016-07-29T14:27:51  1.745e-01    2.702e-02
  101        2016-07-29T14:27:51  1.744e-01    2.702e-02
  102        2016-07-29T14:27:51  1.743e-01    2.701e-02
  103        2016-07-29T14:27:51  1.742e-01    2.699e-02
  104        2016-07-29T14:27:51  1.740e-01    2.698e-02
  105        2016-07-29T14:27:51  1.739e-01    2.698e-02
  106        2016-07-29T14:27:52  1.738e-01    2.697e-02
  107        2016-07-29T14:27:52  1.737e-01    2.696e-02
  108        2016-07-29T14:27:52  1.735e-01    2.694e-02
  109        2016-07-29T14:27:52  1.733e-01    2.693e-02
  110        2016-07-29T14:27:52  1.730e-01    2.690e-02
  111        2016-07-29T14:27:52  1.725e-01    2.687e-02
  112        2016-07-29T14:27:52  1.718e-01    2.681e-02
  113        2016-07-29T14:27:52  1.706e-01    2.672e-02
  114        2016-07-29T14:27:52  1.687e-01    2.656e-02
  115        2016-07-29T14:27:53  1.664e-01    2.639e-02
  116        2016-07-29T14:27:53  1.656e-01    2.633e-02
  117        2016-07-29T14:27:53  1.644e-01    2.622e-02
  118        2016-07-29T14:27:53  1.627e-01    2.609e-02
  119        2016-07-29T14:27:53  1.620e-01    2.604e-02
  120        2016-07-29T14:27:53  1.610e-01    2.595e-02
  121        2016-07-29T14:27:53  1.599e-01    2.586e-02
  122        2016-07-29T14:27:53  1.595e-01    2.584e-02
  123        2016-07-29T14:27:54  1.595e-01    2.583e-02
  124        2016-07-29T14:27:54  1.593e-01    2.582e-02
  125        2016-07-29T14:27:54  1.592e-01    2.581e-02
  126        2016-07-29T14:27:54  1.591e-01    2.580e-02
  127        2016-07-29T14:27:54  1.591e-01    2.580e-02
  128        2016-07-29T14:27:54  1.591e-01    2.580e-02
  129        2016-07-29T14:27:54  1.591e-01    2.580e-02
  130        2016-07-29T14:27:54  1.591e-01    2.580e-02
  131        2016-07-29T14:27:54  1.591e-01    2.580e-02
  132        2016-07-29T14:27:55  1.590e-01    2.579e-02
  133        2016-07-29T14:27:55  1.590e-01    2.579e-02
  134        2016-07-29T14:27:55  1.589e-01    2.578e-02
  135        2016-07-29T14:27:55  1.587e-01    2.577e-02
  136        2016-07-29T14:27:55  1.585e-01    2.575e-02
  137        2016-07-29T14:27:55  1.582e-01    2.573e-02
  138        2016-07-29T14:27:55  1.577e-01    2.569e-02
  139        2016-07-29T14:27:55  1.586e-01    2.576e-02
  140        2016-07-29T14:27:56  1.575e-01    2.567e-02
  141        2016-07-29T14:27:56  1.572e-01    2.564e-02
  142        2016-07-29T14:27:56  1.568e-01    2.561e-02
  143        2016-07-29T14:27:56  1.568e-01    2.562e-02
  144        2016-07-29T14:27:56  1.568e-01    2.561e-02
