Amp training started. 2016-07-29T14:22:24

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [3, 3, 3]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-UyHPMC.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/3-3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/3-3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
   89        2016-07-29T14:23:13  5.990e-02    1.583e-02
   90        2016-07-29T14:23:14  5.919e-02    1.574e-02
   91        2016-07-29T14:23:14  5.798e-02    1.558e-02
   92        2016-07-29T14:23:14  5.638e-02    1.536e-02
   93        2016-07-29T14:23:14  5.413e-02    1.505e-02
   94        2016-07-29T14:23:14  5.077e-02    1.457e-02
   95        2016-07-29T14:23:15  4.575e-02    1.384e-02
   96        2016-07-29T14:23:15  5.000e-02    1.446e-02
   97        2016-07-29T14:23:15  4.301e-02    1.342e-02
   98        2016-07-29T14:23:15  4.090e-02    1.308e-02
   99        2016-07-29T14:23:16  4.013e-02    1.296e-02
Saving checkpoint data.
  100        2016-07-29T14:23:16  3.926e-02    1.282e-02
  101        2016-07-29T14:23:16  3.787e-02    1.259e-02
  102        2016-07-29T14:23:16  3.610e-02    1.229e-02
  103        2016-07-29T14:23:17  3.487e-02    1.208e-02
  104        2016-07-29T14:23:17  3.430e-02    1.198e-02
  105        2016-07-29T14:23:17  3.348e-02    1.184e-02
  106        2016-07-29T14:23:17  3.270e-02    1.170e-02
  107        2016-07-29T14:23:17  3.205e-02    1.158e-02
  108        2016-07-29T14:23:18  3.117e-02    1.142e-02
  109        2016-07-29T14:23:18  3.044e-02    1.129e-02
  110        2016-07-29T14:23:18  3.016e-02    1.123e-02
  111        2016-07-29T14:23:18  3.002e-02    1.121e-02
  112        2016-07-29T14:23:18  2.980e-02    1.117e-02
  113        2016-07-29T14:23:19  2.947e-02    1.110e-02
  114        2016-07-29T14:23:19  2.900e-02    1.102e-02
  115        2016-07-29T14:23:19  2.836e-02    1.089e-02
  116        2016-07-29T14:23:19  2.750e-02    1.073e-02
  117        2016-07-29T14:23:20  2.631e-02    1.049e-02
  118        2016-07-29T14:23:20  2.471e-02    1.017e-02
  119        2016-07-29T14:23:20  2.374e-02    9.967e-03
  120        2016-07-29T14:23:20  2.234e-02    9.669e-03
  121        2016-07-29T14:23:21  2.108e-02    9.393e-03
  122        2016-07-29T14:23:21  2.074e-02    9.315e-03
  123        2016-07-29T14:23:21  2.030e-02    9.216e-03
  124        2016-07-29T14:23:21  1.973e-02    9.085e-03
  125        2016-07-29T14:23:21  1.940e-02    9.010e-03
  126        2016-07-29T14:23:22  1.918e-02    8.958e-03
  127        2016-07-29T14:23:22  1.896e-02    8.906e-03
  128        2016-07-29T14:23:22  1.881e-02    8.871e-03
  129        2016-07-29T14:23:22  1.866e-02    8.836e-03
  130        2016-07-29T14:23:23  1.854e-02    8.807e-03
  131        2016-07-29T14:23:23  1.838e-02    8.770e-03
  132        2016-07-29T14:23:23  1.821e-02    8.729e-03
  133        2016-07-29T14:23:23  1.800e-02    8.678e-03
  134        2016-07-29T14:23:23  1.790e-02    8.654e-03
  135        2016-07-29T14:23:24  1.788e-02    8.650e-03
  136        2016-07-29T14:23:24  1.787e-02    8.647e-03
  137        2016-07-29T14:23:24  1.786e-02    8.644e-03
  138        2016-07-29T14:23:24  1.784e-02    8.641e-03
  139        2016-07-29T14:23:25  1.783e-02    8.637e-03
  140        2016-07-29T14:23:25  1.781e-02    8.632e-03
  141        2016-07-29T14:23:25  1.777e-02    8.623e-03
  142        2016-07-29T14:23:25  1.773e-02    8.612e-03
  143        2016-07-29T14:23:25  1.768e-02    8.601e-03
  144        2016-07-29T14:23:26  1.763e-02    8.590e-03
  145        2016-07-29T14:23:26  1.760e-02    8.582e-03
  146        2016-07-29T14:23:26  1.757e-02    8.575e-03
  147        2016-07-29T14:23:26  1.754e-02    8.566e-03
