Amp training started. 2016-07-29T16:15:43

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file scripts/2016-07-28/generic2/2-2-2/fingerprints.db loaded with 239 entries. 0.0 min.
 Calculating 0 of 239 fingerprints (239 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic2/2-2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T16:15:44  2.404e+01    3.172e-01
    1        2016-07-29T16:15:44  9.815e+04    2.027e+01
    2        2016-07-29T16:15:45  2.447e+01    3.200e-01
    3        2016-07-29T16:15:45  2.358e+01    3.141e-01
    4        2016-07-29T16:15:45  2.255e+01    3.071e-01
    5        2016-07-29T16:15:45  1.665e+01    2.639e-01
    6        2016-07-29T16:15:45  5.008e+00    1.448e-01
    7        2016-07-29T16:15:45  2.976e+00    1.116e-01
    8        2016-07-29T16:15:45  2.976e+02    1.116e+00
    9        2016-07-29T16:15:46  1.882e+00    8.874e-02
   10        2016-07-29T16:15:46  1.989e+00    9.122e-02
   11        2016-07-29T16:15:46  1.460e+00    7.817e-02
   12        2016-07-29T16:15:46  1.055e+00    6.645e-02
   13        2016-07-29T16:15:46  1.067e+00    6.682e-02
   14        2016-07-29T16:15:46  9.744e-01    6.385e-02
   15        2016-07-29T16:15:47  8.015e-01    5.791e-02
   16        2016-07-29T16:15:47  1.264e+00    7.272e-02
   17        2016-07-29T16:15:47  6.602e-01    5.256e-02
   18        2016-07-29T16:15:47  4.882e-01    4.520e-02
   19        2016-07-29T16:15:47  4.603e-01    4.389e-02
   20        2016-07-29T16:15:47  4.880e-01    4.519e-02
   21        2016-07-29T16:15:47  4.508e-01    4.343e-02
   22        2016-07-29T16:15:48  4.403e-01    4.292e-02
   23        2016-07-29T16:15:48  4.327e-01    4.255e-02
   24        2016-07-29T16:15:48  4.191e-01    4.187e-02
   25        2016-07-29T16:15:48  4.047e-01    4.115e-02
   26        2016-07-29T16:15:48  3.827e-01    4.001e-02
   27        2016-07-29T16:15:48  3.607e-01    3.885e-02
   28        2016-07-29T16:15:49  3.378e-01    3.760e-02
   29        2016-07-29T16:15:49  3.229e-01    3.676e-02
   30        2016-07-29T16:15:49  3.199e-01    3.659e-02
   31        2016-07-29T16:15:49  3.165e-01    3.639e-02
   32        2016-07-29T16:15:49  3.149e-01    3.630e-02
   33        2016-07-29T16:15:49  3.130e-01    3.619e-02
   34        2016-07-29T16:15:49  3.101e-01    3.602e-02
   35        2016-07-29T16:15:50  3.051e-01    3.573e-02
   36        2016-07-29T16:15:50  2.985e-01    3.534e-02
   37        2016-07-29T16:15:50  3.183e-01    3.649e-02
   38        2016-07-29T16:15:50  2.964e-01    3.521e-02
   39        2016-07-29T16:15:50  2.930e-01    3.501e-02
   40        2016-07-29T16:15:50  2.874e-01    3.468e-02
   41        2016-07-29T16:15:51  2.770e-01    3.404e-02
   42        2016-07-29T16:15:51  2.617e-01    3.309e-02
   43        2016-07-29T16:15:51  2.479e-01    3.221e-02
   44        2016-07-29T16:15:51  2.237e-01    3.060e-02
   45        2016-07-29T16:15:51  1.944e-01    2.852e-02
   46        2016-07-29T16:15:51  1.615e-01    2.599e-02
   47        2016-07-29T16:15:52  1.605e-01    2.591e-02
   48        2016-07-29T16:15:52  1.592e-01    2.581e-02
   49        2016-07-29T16:15:52  1.571e-01    2.564e-02
   50        2016-07-29T16:15:52  1.540e-01    2.539e-02
   51        2016-07-29T16:15:52  1.503e-01    2.508e-02
   52        2016-07-29T16:15:52  1.475e-01    2.484e-02
   53        2016-07-29T16:15:53  1.465e-01    2.476e-02
   54        2016-07-29T16:15:53  1.450e-01    2.463e-02
   55        2016-07-29T16:15:53  1.443e-01    2.458e-02
   56        2016-07-29T16:15:53  1.433e-01    2.449e-02
   57        2016-07-29T16:15:53  1.414e-01    2.432e-02
   58        2016-07-29T16:15:53  1.383e-01    2.405e-02
   59        2016-07-29T16:15:54  1.364e-01    2.389e-02
   60        2016-07-29T16:15:54  1.340e-01    2.368e-02
   61        2016-07-29T16:15:54  1.314e-01    2.344e-02
