Amp training started. 2016-07-29T16:13:29

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file scripts/2016-07-28/generic2/3-3/fingerprints.db loaded with 239 entries. 0.0 min.
 Calculating 0 of 239 fingerprints (239 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic2/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T16:13:31  2.619e+01    3.310e-01
    1        2016-07-29T16:13:31  2.347e+03    3.134e+00
    2        2016-07-29T16:13:31  2.622e+01    3.312e-01
    3        2016-07-29T16:13:31  2.618e+01    3.310e-01
    4        2016-07-29T16:13:31  2.618e+01    3.309e-01
    5        2016-07-29T16:13:31  2.617e+01    3.309e-01
    6        2016-07-29T16:13:31  2.617e+01    3.309e-01
    7        2016-07-29T16:13:32  2.617e+01    3.309e-01
    8        2016-07-29T16:13:32  2.617e+01    3.309e-01
    9        2016-07-29T16:13:32  2.616e+01    3.309e-01
   10        2016-07-29T16:13:32  2.561e+01    3.274e-01
   11        2016-07-29T16:13:32  2.306e+01    3.106e-01
   12        2016-07-29T16:13:32  2.617e+01    3.309e-01
   13        2016-07-29T16:13:32  2.617e+01    3.309e-01
   14        2016-07-29T16:13:33  2.616e+01    3.309e-01
   15        2016-07-29T16:13:33  2.614e+01    3.307e-01
   16        2016-07-29T16:13:33  2.590e+01    3.292e-01
   17        2016-07-29T16:13:33  2.503e+01    3.236e-01
   18        2016-07-29T16:13:33  1.835e+01    2.771e-01
   19        2016-07-29T16:13:33  2.469e+01    3.214e-01
   20        2016-07-29T16:13:33  1.252e+01    2.289e-01
   21        2016-07-29T16:13:34  1.612e+01    2.597e-01
   22        2016-07-29T16:13:34  1.348e+01    2.375e-01
   23        2016-07-29T16:13:34  1.276e+01    2.310e-01
   24        2016-07-29T16:13:34  1.258e+01    2.294e-01
   25        2016-07-29T16:13:34  1.252e+01    2.289e-01
   26        2016-07-29T16:13:34  5.102e+06    1.461e+02
   27        2016-07-29T16:13:34  1.252e+01    2.289e-01
   28        2016-07-29T16:13:34  1.252e+01    2.289e-01
   29        2016-07-29T16:13:35  1.252e+01    2.289e-01
   30        2016-07-29T16:13:35  1.252e+01    2.289e-01
   31        2016-07-29T16:13:35  1.252e+01    2.289e-01
   32        2016-07-29T16:13:35  1.252e+01    2.289e-01
   33        2016-07-29T16:13:35  1.252e+01    2.288e-01
   34        2016-07-29T16:13:35  1.250e+01    2.287e-01
   35        2016-07-29T16:13:35  1.242e+01    2.279e-01
   36        2016-07-29T16:13:35  1.218e+01    2.258e-01
   37        2016-07-29T16:13:36  1.188e+01    2.230e-01
   38        2016-07-29T16:13:36  1.129e+01    2.173e-01
   39        2016-07-29T16:13:36  9.882e+00    2.033e-01
   40        2016-07-29T16:13:36  1.871e+01    2.798e-01
   41        2016-07-29T16:13:36  9.403e+00    1.984e-01
   42        2016-07-29T16:13:36  8.513e+00    1.887e-01
   43        2016-07-29T16:13:36  6.781e+00    1.684e-01
   44        2016-07-29T16:13:36  2.466e+01    3.212e-01
   45        2016-07-29T16:13:37  5.072e+00    1.457e-01
   46        2016-07-29T16:13:37  1.021e+01    2.067e-01
   47        2016-07-29T16:13:37  4.104e+00    1.310e-01
   48        2016-07-29T16:13:37  3.287e+00    1.173e-01
   49        2016-07-29T16:13:37  2.793e+00    1.081e-01
   50        2016-07-29T16:13:37  2.693e+00    1.062e-01
   51        2016-07-29T16:13:37  2.529e+00    1.029e-01
   52        2016-07-29T16:13:38  2.296e+00    9.801e-02
   53        2016-07-29T16:13:38  3.087e+02    1.136e+00
   54        2016-07-29T16:13:38  2.294e+00    9.796e-02
   55        2016-07-29T16:13:38  2.291e+00    9.791e-02
   56        2016-07-29T16:13:38  4.768e+00    1.412e-01
   57        2016-07-29T16:13:38  1.857e+00    8.814e-02
   58        2016-07-29T16:13:38  1.646e+00    8.300e-02
   59        2016-07-29T16:13:38  1.165e+02    6.981e-01
   60        2016-07-29T16:13:39  1.644e+00    8.294e-02
   61        2016-07-29T16:13:39  1.588e+00    8.151e-02
