Amp training started. 2016-07-29T13:50:22

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-FTkaY9.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
   89        2016-07-29T13:51:11  1.617e-01    2.601e-02
   90        2016-07-29T13:51:12  1.584e-01    2.575e-02
   91        2016-07-29T13:51:12  1.542e-01    2.540e-02
   92        2016-07-29T13:51:12  1.490e-01    2.497e-02
   93        2016-07-29T13:51:12  1.471e-01    2.481e-02
   94        2016-07-29T13:51:12  1.446e-01    2.460e-02
   95        2016-07-29T13:51:12  1.429e-01    2.445e-02
   96        2016-07-29T13:51:13  1.417e-01    2.435e-02
   97        2016-07-29T13:51:13  1.409e-01    2.428e-02
   98        2016-07-29T13:51:13  1.405e-01    2.425e-02
   99        2016-07-29T13:51:13  1.399e-01    2.420e-02
Saving checkpoint data.
  100        2016-07-29T13:51:13  1.391e-01    2.413e-02
  101        2016-07-29T13:51:14  1.383e-01    2.406e-02
  102        2016-07-29T13:51:14  1.377e-01    2.400e-02
  103        2016-07-29T13:51:14  1.373e-01    2.397e-02
  104        2016-07-29T13:51:14  1.368e-01    2.393e-02
  105        2016-07-29T13:51:15  1.362e-01    2.387e-02
  106        2016-07-29T13:51:15  1.351e-01    2.378e-02
  107        2016-07-29T13:51:15  1.333e-01    2.362e-02
  108        2016-07-29T13:51:15  1.305e-01    2.337e-02
  109        2016-07-29T13:51:15  1.344e-01    2.371e-02
  110        2016-07-29T13:51:16  1.289e-01    2.322e-02
  111        2016-07-29T13:51:16  1.286e-01    2.319e-02
  112        2016-07-29T13:51:16  1.280e-01    2.315e-02
  113        2016-07-29T13:51:16  1.274e-01    2.309e-02
  114        2016-07-29T13:51:16  1.269e-01    2.304e-02
  115        2016-07-29T13:51:17  1.265e-01    2.301e-02
  116        2016-07-29T13:51:17  1.259e-01    2.295e-02
  117        2016-07-29T13:51:17  1.247e-01    2.284e-02
  118        2016-07-29T13:51:17  1.228e-01    2.267e-02
  119        2016-07-29T13:51:17  1.216e-01    2.256e-02
  120        2016-07-29T13:51:18  1.210e-01    2.250e-02
  121        2016-07-29T13:51:18  1.200e-01    2.241e-02
  122        2016-07-29T13:51:18  1.193e-01    2.234e-02
  123        2016-07-29T13:51:18  1.190e-01    2.231e-02
  124        2016-07-29T13:51:19  1.183e-01    2.225e-02
  125        2016-07-29T13:51:19  1.171e-01    2.213e-02
  126        2016-07-29T13:51:19  1.407e-01    2.427e-02
  127        2016-07-29T13:51:19  1.162e-01    2.205e-02
  128        2016-07-29T13:51:19  1.370e-01    2.395e-02
  129        2016-07-29T13:51:20  1.157e-01    2.200e-02
  130        2016-07-29T13:51:20  1.147e-01    2.191e-02
  131        2016-07-29T13:51:20  1.133e-01    2.178e-02
  132        2016-07-29T13:51:20  1.124e-01    2.169e-02
  133        2016-07-29T13:51:20  1.122e-01    2.167e-02
  134        2016-07-29T13:51:21  1.120e-01    2.164e-02
  135        2016-07-29T13:51:21  1.118e-01    2.163e-02
  136        2016-07-29T13:51:21  1.117e-01    2.162e-02
  137        2016-07-29T13:51:21  1.116e-01    2.160e-02
  138        2016-07-29T13:51:22  1.112e-01    2.157e-02
  139        2016-07-29T13:51:22  1.106e-01    2.151e-02
  140        2016-07-29T13:51:22  1.097e-01    2.142e-02
  141        2016-07-29T13:51:22  1.091e-01    2.137e-02
  142        2016-07-29T13:51:22  1.086e-01    2.131e-02
  143        2016-07-29T13:51:23  1.080e-01    2.126e-02
  144        2016-07-29T13:51:23  1.076e-01    2.122e-02
  145        2016-07-29T13:51:23  1.074e-01    2.120e-02
  146        2016-07-29T13:51:23  1.071e-01    2.117e-02
  147        2016-07-29T13:51:24  1.067e-01    2.113e-02
  148        2016-07-29T13:51:24  1.063e-01    2.109e-02
  149        2016-07-29T13:51:24  1.060e-01    2.106e-02
  150        2016-07-29T13:51:24  1.054e-01    2.100e-02
  151        2016-07-29T13:51:24  1.046e-01    2.092e-02
  152        2016-07-29T13:51:25  1.035e-01    2.081e-02
  153        2016-07-29T13:51:25  1.038e-01    2.084e-02
  154        2016-07-29T13:51:25  1.028e-01    2.074e-02
  155        2016-07-29T13:51:25  1.019e-01    2.065e-02
  156        2016-07-29T13:51:26  1.011e-01    2.057e-02
  157        2016-07-29T13:51:26  1.008e-01    2.054e-02
  158        2016-07-29T13:51:26  1.006e-01    2.052e-02
  159        2016-07-29T13:51:26  1.004e-01    2.049e-02
  160        2016-07-29T13:51:26  1.001e-01    2.046e-02
  161        2016-07-29T13:51:26  9.969e-02    2.042e-02
  162        2016-07-29T13:51:27  9.928e-02    2.038e-02
  163        2016-07-29T13:51:27  9.893e-02    2.035e-02
  164        2016-07-29T13:51:27  9.858e-02    2.031e-02
  165        2016-07-29T13:51:27  9.828e-02    2.028e-02
  166        2016-07-29T13:51:28  9.790e-02    2.024e-02
  167        2016-07-29T13:51:28  9.735e-02    2.018e-02
  168        2016-07-29T13:51:28  9.670e-02    2.011e-02
  169        2016-07-29T13:51:28  9.552e-02    1.999e-02
  170        2016-07-29T13:51:28  9.357e-02    1.979e-02
  171        2016-07-29T13:51:28  9.399e-02    1.983e-02
  172        2016-07-29T13:51:29  9.220e-02    1.964e-02
  173        2016-07-29T13:51:29  9.021e-02    1.943e-02
  174        2016-07-29T13:51:29  8.735e-02    1.912e-02
  175        2016-07-29T13:51:30  8.259e-02    1.859e-02
  176        2016-07-29T13:51:30  7.563e-02    1.779e-02
  177        2016-07-29T13:51:30  8.264e-02    1.859e-02
  178        2016-07-29T13:51:30  7.272e-02    1.744e-02
  179        2016-07-29T13:51:30  6.943e-02    1.704e-02
  180        2016-07-29T13:51:31  6.523e-02    1.652e-02
  181        2016-07-29T13:51:31  6.550e-02    1.655e-02
  182        2016-07-29T13:51:31  6.369e-02    1.632e-02
  183        2016-07-29T13:51:31  6.370e-02    1.633e-02
  184        2016-07-29T13:51:31  6.295e-02    1.623e-02
  185        2016-07-29T13:51:32  6.267e-02    1.619e-02
  186        2016-07-29T13:51:32  6.248e-02    1.617e-02
  187        2016-07-29T13:51:32  6.221e-02    1.613e-02
  188        2016-07-29T13:51:32  6.181e-02    1.608e-02
  189        2016-07-29T13:51:32  6.120e-02    1.600e-02
  190        2016-07-29T13:51:33  6.061e-02    1.593e-02
  191        2016-07-29T13:51:33  6.001e-02    1.585e-02
  192        2016-07-29T13:51:33  5.901e-02    1.571e-02
  193        2016-07-29T13:51:33  5.733e-02    1.549e-02
  194        2016-07-29T13:51:33  5.630e-02    1.535e-02
  195        2016-07-29T13:51:34  5.600e-02    1.531e-02
  196        2016-07-29T13:51:34  5.380e-02    1.500e-02
  197        2016-07-29T13:51:34  5.072e-02    1.457e-02
  198        2016-07-29T13:51:34  4.921e-02    1.435e-02
  199        2016-07-29T13:51:35  5.072e-02    1.457e-02
Saving checkpoint data.
  200        2016-07-29T13:51:35  4.881e-02    1.429e-02
  201        2016-07-29T13:51:35  4.845e-02    1.424e-02
  202        2016-07-29T13:51:35  4.819e-02    1.420e-02
  203        2016-07-29T13:51:35  4.796e-02    1.417e-02
  204        2016-07-29T13:51:36  4.775e-02    1.414e-02
  205        2016-07-29T13:51:36  4.750e-02    1.410e-02
  206        2016-07-29T13:51:36  4.711e-02    1.404e-02
  207        2016-07-29T13:51:36  4.643e-02    1.394e-02
  208        2016-07-29T13:51:37  4.530e-02    1.377e-02
  209        2016-07-29T13:51:37  4.390e-02    1.355e-02
  210        2016-07-29T13:51:37  4.356e-02    1.350e-02
  211        2016-07-29T13:51:37  4.335e-02    1.347e-02
  212        2016-07-29T13:51:37  4.311e-02    1.343e-02
  213        2016-07-29T13:51:37  4.280e-02    1.338e-02
  214        2016-07-29T13:51:38  4.261e-02    1.335e-02
  215        2016-07-29T13:51:38  4.256e-02    1.334e-02
  216        2016-07-29T13:51:38  4.249e-02    1.333e-02
  217        2016-07-29T13:51:38  4.242e-02    1.332e-02
  218        2016-07-29T13:51:39  4.236e-02    1.331e-02
  219        2016-07-29T13:51:39  4.225e-02    1.330e-02
  220        2016-07-29T13:51:39  4.205e-02    1.326e-02
  221        2016-07-29T13:51:39  4.172e-02    1.321e-02
  222        2016-07-29T13:51:39  4.118e-02    1.313e-02
  223        2016-07-29T13:51:39  4.084e-02    1.307e-02
  224        2016-07-29T13:51:40  4.040e-02    1.300e-02
  225        2016-07-29T13:51:40  4.007e-02    1.295e-02
  226        2016-07-29T13:51:40  3.958e-02    1.287e-02
  227        2016-07-29T13:51:40  3.896e-02    1.277e-02
  228        2016-07-29T13:51:41  3.854e-02    1.270e-02
  229        2016-07-29T13:51:41  3.820e-02    1.264e-02
  230        2016-07-29T13:51:41  3.800e-02    1.261e-02
  231        2016-07-29T13:51:41  3.781e-02    1.258e-02
  232        2016-07-29T13:51:41  3.751e-02    1.253e-02
  233        2016-07-29T13:51:42  3.701e-02    1.244e-02
  234        2016-07-29T13:51:42  3.616e-02    1.230e-02
  235        2016-07-29T13:51:42  3.547e-02    1.218e-02
  236        2016-07-29T13:51:42  3.484e-02    1.207e-02
  237        2016-07-29T13:51:42  3.429e-02    1.198e-02
  238        2016-07-29T13:51:42  3.382e-02    1.190e-02
  239        2016-07-29T13:51:43  3.342e-02    1.182e-02
  240        2016-07-29T13:51:43  3.310e-02    1.177e-02
  241        2016-07-29T13:51:43  3.287e-02    1.173e-02
  242        2016-07-29T13:51:43  3.253e-02    1.167e-02
  243        2016-07-29T13:51:44  3.194e-02    1.156e-02
  244        2016-07-29T13:51:44  3.097e-02    1.138e-02
  245        2016-07-29T13:51:44  2.980e-02    1.117e-02
  246        2016-07-29T13:51:44  2.878e-02    1.097e-02
  247        2016-07-29T13:51:45  2.715e-02    1.066e-02
  248        2016-07-29T13:51:45  2.551e-02    1.033e-02
  249        2016-07-29T13:51:45  2.323e-02    9.858e-03
  250        2016-07-29T13:51:45  2.132e-02    9.445e-03
  251        2016-07-29T13:51:46  2.054e-02    9.270e-03
  252        2016-07-29T13:51:46  1.979e-02    9.100e-03
  253        2016-07-29T13:51:46  1.929e-02    8.983e-03
  254        2016-07-29T13:51:46  1.893e-02    8.900e-03
  255        2016-07-29T13:51:46  1.875e-02    8.857e-03
  256        2016-07-29T13:51:47  1.868e-02    8.842e-03
  257        2016-07-29T13:51:47  1.863e-02    8.829e-03
  258        2016-07-29T13:51:47  1.858e-02    8.817e-03
  259        2016-07-29T13:51:47  1.850e-02    8.797e-03
  260        2016-07-29T13:51:48  1.837e-02    8.767e-03
  261        2016-07-29T13:51:48  1.825e-02    8.739e-03
  262        2016-07-29T13:51:48  1.814e-02    8.711e-03
  263        2016-07-29T13:51:48  1.795e-02    8.666e-03
  264        2016-07-29T13:51:48  1.766e-02    8.595e-03
  265        2016-07-29T13:51:49  1.727e-02    8.500e-03
  266        2016-07-29T13:51:49  1.689e-02    8.408e-03
  267        2016-07-29T13:51:49  1.645e-02    8.297e-03
  268        2016-07-29T13:51:49  1.607e-02    8.199e-03
  269        2016-07-29T13:51:50  1.592e-02    8.161e-03
  270        2016-07-29T13:51:50  1.575e-02    8.117e-03
  271        2016-07-29T13:51:50  1.553e-02    8.062e-03
  272        2016-07-29T13:51:50  1.544e-02    8.038e-03
  273        2016-07-29T13:51:50  1.535e-02    8.014e-03
  274        2016-07-29T13:51:50  1.530e-02    8.000e-03
  275        2016-07-29T13:51:51  1.524e-02    7.985e-03
  276        2016-07-29T13:51:51  1.518e-02    7.970e-03
  277        2016-07-29T13:51:51  1.509e-02    7.946e-03
  278        2016-07-29T13:51:51  1.498e-02    7.917e-03
  279        2016-07-29T13:51:51  1.490e-02    7.895e-03
  280        2016-07-29T13:51:52  1.477e-02    7.862e-03
  281        2016-07-29T13:51:52  1.466e-02    7.833e-03
  282        2016-07-29T13:51:52  1.457e-02    7.809e-03
  283        2016-07-29T13:51:52  1.453e-02    7.798e-03
  284        2016-07-29T13:51:53  1.451e-02    7.791e-03
  285        2016-07-29T13:51:53  1.449e-02    7.788e-03
  286        2016-07-29T13:51:53  1.448e-02    7.785e-03
  287        2016-07-29T13:51:53  1.448e-02    7.784e-03
  288        2016-07-29T13:51:53  1.448e-02    7.782e-03
  289        2016-07-29T13:51:54  1.447e-02    7.781e-03
  290        2016-07-29T13:51:54  1.446e-02    7.777e-03
  291        2016-07-29T13:51:54  1.443e-02    7.771e-03
  292        2016-07-29T13:51:54  1.439e-02    7.761e-03
  293        2016-07-29T13:51:54  1.432e-02    7.741e-03
  294        2016-07-29T13:51:55  1.419e-02    7.705e-03
  295        2016-07-29T13:51:55  1.401e-02    7.655e-03
  296        2016-07-29T13:51:55  1.376e-02    7.587e-03
  297        2016-07-29T13:51:55  1.351e-02    7.518e-03
  298        2016-07-29T13:51:55  1.324e-02    7.442e-03
  299        2016-07-29T13:51:55  1.286e-02    7.336e-03
Saving checkpoint data.
  300        2016-07-29T13:51:56  1.274e-02    7.300e-03
  301        2016-07-29T13:51:56  1.261e-02    7.265e-03
  302        2016-07-29T13:51:56  1.234e-02    7.187e-03
  303        2016-07-29T13:51:56  1.196e-02    7.075e-03
  304        2016-07-29T13:51:56  1.145e-02    6.921e-03
  305        2016-07-29T13:51:57  1.072e-02    6.697e-03
  306        2016-07-29T13:51:57  1.023e-02    6.541e-03
  307        2016-07-29T13:51:57  1.011e-02    6.505e-03
  308        2016-07-29T13:51:57  9.917e-03    6.441e-03
