Amp training started. 2016-07-29T14:43:15

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-EvAm91.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/generic1/3-3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic1/3-3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
   89        2016-07-29T14:43:58  1.252e-01    2.289e-02
   90        2016-07-29T14:43:58  1.234e-01    2.272e-02
   91        2016-07-29T14:43:58  1.206e-01    2.246e-02
   92        2016-07-29T14:43:58  1.170e-01    2.212e-02
   93        2016-07-29T14:43:58  1.138e-01    2.182e-02
   94        2016-07-29T14:43:58  1.125e-01    2.170e-02
   95        2016-07-29T14:43:59  1.115e-01    2.160e-02
   96        2016-07-29T14:43:59  1.107e-01    2.152e-02
   97        2016-07-29T14:43:59  1.100e-01    2.145e-02
   98        2016-07-29T14:43:59  1.097e-01    2.143e-02
   99        2016-07-29T14:43:59  1.097e-01    2.143e-02
Saving checkpoint data.
  100        2016-07-29T14:43:59  1.097e-01    2.142e-02
  101        2016-07-29T14:43:59  1.097e-01    2.142e-02
  102        2016-07-29T14:43:59  1.097e-01    2.142e-02
  103        2016-07-29T14:44:00  1.096e-01    2.142e-02
  104        2016-07-29T14:44:00  1.096e-01    2.141e-02
  105        2016-07-29T14:44:00  1.095e-01    2.140e-02
  106        2016-07-29T14:44:00  1.092e-01    2.138e-02
  107        2016-07-29T14:44:00  1.089e-01    2.134e-02
  108        2016-07-29T14:44:00  1.083e-01    2.128e-02
  109        2016-07-29T14:44:00  1.073e-01    2.119e-02
  110        2016-07-29T14:44:01  1.058e-01    2.104e-02
  111        2016-07-29T14:44:01  1.034e-01    2.080e-02
  112        2016-07-29T14:44:01  9.988e-02    2.044e-02
  113        2016-07-29T14:44:01  9.569e-02    2.001e-02
  114        2016-07-29T14:44:01  9.498e-02    1.994e-02
  115        2016-07-29T14:44:01  9.493e-02    1.993e-02
  116        2016-07-29T14:44:01  9.483e-02    1.992e-02
  117        2016-07-29T14:44:02  9.452e-02    1.989e-02
  118        2016-07-29T14:44:02  9.408e-02    1.984e-02
  119        2016-07-29T14:44:02  9.396e-02    1.983e-02
  120        2016-07-29T14:44:02  9.394e-02    1.983e-02
  121        2016-07-29T14:44:02  9.393e-02    1.982e-02
  122        2016-07-29T14:44:02  9.392e-02    1.982e-02
  123        2016-07-29T14:44:02  9.390e-02    1.982e-02
  124        2016-07-29T14:44:03  9.387e-02    1.982e-02
  125        2016-07-29T14:44:03  9.381e-02    1.981e-02
  126        2016-07-29T14:44:03  9.373e-02    1.980e-02
  127        2016-07-29T14:44:03  9.367e-02    1.980e-02
  128        2016-07-29T14:44:03  9.362e-02    1.979e-02
  129        2016-07-29T14:44:03  9.356e-02    1.979e-02
  130        2016-07-29T14:44:03  9.350e-02    1.978e-02
  131        2016-07-29T14:44:04  9.339e-02    1.977e-02
  132        2016-07-29T14:44:04  9.323e-02    1.975e-02
  133        2016-07-29T14:44:04  9.295e-02    1.972e-02
  134        2016-07-29T14:44:04  9.254e-02    1.968e-02
  135        2016-07-29T14:44:04  9.220e-02    1.964e-02
  136        2016-07-29T14:44:04  9.211e-02    1.963e-02
  137        2016-07-29T14:44:04  9.210e-02    1.963e-02
  138        2016-07-29T14:44:05  9.209e-02    1.963e-02
  139        2016-07-29T14:44:05  9.209e-02    1.963e-02
  140        2016-07-29T14:44:05  9.209e-02    1.963e-02
  141        2016-07-29T14:44:05  9.209e-02    1.963e-02
  142        2016-07-29T14:44:05  9.209e-02    1.963e-02
  143        2016-07-29T14:44:05  9.209e-02    1.963e-02
  144        2016-07-29T14:44:05  9.209e-02    1.963e-02
  145        2016-07-29T14:44:05  9.209e-02    1.963e-02
  146        2016-07-29T14:44:06  9.209e-02    1.963e-02
  147        2016-07-29T14:44:06  9.208e-02    1.963e-02
  148        2016-07-29T14:44:06  9.208e-02    1.963e-02
